Date,Time,Stepwise_Bottom_Heating,InvertPyramid_Bottom_Heating,Sidewall_Interfacial,Bottom_Heating,Foam_Bottom_Interfacial
20201202,,,,5,30,20
20201203,,,,40,30,40
20201204,,,,140,120,170
20201205,,,,100,100,120
20201206,,,,200,130,170
20201207,,,,20,40,40
20201208,,,,0,0,10
20201209,,,,80,60,90
20201210,,,,20,20,30
20201211,,,,20,20,30
20201212,,,,360,290,390
20201213,,,,320,270,360
20201214,,,,20,20,50
20201215,8:15,,,0,0,0
20201215,11:17,,,140,60,140
20201215,14:19,,,400,270,390
20201215,,,,500,380,460
20201216,8:35,,,0,0,0
20201216,10:33,,,90,40,90
20201216,11:58,,,190,100,200
20201216,14:04,,,350,250,370
20201216,,,,470,390,460
20201217,,,,270,240,300
20201218,,,,0,10,50
20201219,,,,310,240,340
20201220,,,,370,330,360
20201221,8:12,,,0,0,0
20201221,10:58,,,90,20,100
20201221,13:42,,,295,200,290
20201221,,,,440,370,420
20201222,8:39,,,0,0,0
20201222,10:13,,,60,30,70
20201222,11:24,,,140,70,160
20201222,13:12,,,270,170,300
20201222,14:39,,,370,280,400
20201222,16:05,,,430,340,440
20201222,,,,470,400,470
20201223,,100,40,50,60,120
20201224,8:11,0,0,0,0,0
20201224,10:10,30,0,45,10,40
20201224,11:05,60,10,90,40,100
20201224,11:59,130,20,150,80,160
20201224,13:14,240,80,240,150,250
20201224,14:17,340,120,300,220,310
20201224,15:23,420,140,340,270,340
20201224,15:56,470,160,350,280,350
20201224,,540,210,380,330,370
20201225,8:33,0,0,0,0,0
20201225,10:21,50,100,50,0,60
20201225,11:40,115,60,120,60,140
20201225,13:18,250,170,210,130,220
20201225,15:00,410,290,300,210,300
20201225,16:42,500,350,340,260,330
20201225,,580,430,350,300,360
20201228,8:44,0,0,0,0,0
20201228,12:04,140,90,130,60,130
20201228,,600,450,350,290,330
20201229,,70,20,50,60,70
20201230,8:18,0,0,0,0,0
20201230,11:35,100,20,110,40,100
20201230,16:49,580,290,350,200,350
20201230,,670,320,370,240,380
20201231,8:18,0,,0,0,0
20201231,11:55,160,,160,80,150
20201231,14:15,490,,350,260,350
20201231,17:21,720,,440,380,430
20201231,,720,,440,380,430
20210104,,250,,130,120,
20210105,,20,,0,10,
20210106,,60,,30,30,
20210107,,190,,60,60,
20210108,,620,,420,320,
20210111,,660,,390,310,
20210112,,870,260,480,390,470
20210113,8:44,0,0,0,0,0
20210113,15:31,920,600,570,440,550
20210113,,1080,820,650,520,600
20210114,8:41,0,0,0,0,0
20210114,14:09,660,300,430,350,440
20210114,,1100,660,610,520,600
20210115,,1030,480,560,520,560
20210116,,330,120,180,170,210
20210117,,850,320,460,420,460
20210118,,1030,,570,490,540
20210119,,940,,510,470,510
20210120,8:21,0,0,0,0,0
20210120,11:25,130,20,120,30,140
20210120,13:32,470,100,290,150,340
20210120,,990,490,490,390,490
20210121,,780,480,380,360,440
20210125,,120,70,50,50,90
20210126,,100,70,40,50,80
20210127,,20,0,10,10,40
20210128,,840,470,310,420,440
20210129,8:09,0,0,0,0,0
20210129,10:52,100,40,130,0,100
20210129,13:46,650,310,410,230,400
20210129,16:52,1060,530,590,430,560
20210129,,1150,630,500,620,580
20210130,,950,560,460,430,500
20210131,,450,320,200,200,240
20210201,,200,100,100,110,110
20210202,,200,100,90,100,120
20210203,,880,500,460,400,490
20210204,,540,340,250,240,290
20210205,,500,300,250,210,250
20210206,,530,300,270,210,300
20210207,,930,550,430,450,480
20210218,,1500,760,700,640,870
20210219,,1565,790,720,710,790
20210220,,1660,940,810,780,790
20210221,,1560,1060,770,770,790
20210222,,1180,520,550,580,590
20210223,,1040,580,480,460,520
20210224,,780,440,380,340,430
20210225,,220,160,140,100,200
20210226,,40,0,40,20,50
20210227,,140,60,50,0,80
20210228,,140,100,80,120,160
20210301,,40,40,30,30,70
20210302,8:17,0,0,0,0,0
20210302,10:20,40,0,50,0,70
20210302,11:11,160,40,120,30,165
20210302,12:18,340,140,240,130,320
20210302,13:24,520,300,380,250,470
20210302,14:02,700,400,460,330,550
20210302,15:39,1050,620,600,490,700
20210302,16:53,1190,720,640,570,750
20210302,,1290,830,660,610,780
20210303,,180,140,80,100,140
20210304,,900,600,450,390,510
20210305,,60,60,40,40,100
20210306,,70,50,30,30,100
20210307,,90,70,40,20,80
